# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth128

# Run progress: 0.00% complete, ETA 00:15:27
# Fork: 1 of 1
# Warmup Iteration   1: 64.711 ns/op
# Warmup Iteration   2: 65.426 ns/op
# Warmup Iteration   3: 64.696 ns/op
Iteration   1: 65.832 ns/op
Iteration   2: 64.866 ns/op
Iteration   3: 64.748 ns/op
Iteration   4: 64.864 ns/op
Iteration   5: 64.738 ns/op
Iteration   6: 65.054 ns/op
Iteration   7: 64.768 ns/op
Iteration   8: 64.745 ns/op
Iteration   9: 64.758 ns/op
Iteration  10: 64.740 ns/op
Iteration  11: 64.749 ns/op
Iteration  12: 64.791 ns/op
Iteration  13: 64.731 ns/op
Iteration  14: 64.753 ns/op
Iteration  15: 64.744 ns/op
Iteration  16: 64.732 ns/op
Iteration  17: 65.846 ns/op
Iteration  18: 65.855 ns/op
Iteration  19: 64.727 ns/op
Iteration  20: 64.756 ns/op
Iteration  21: 64.791 ns/op
Iteration  22: 64.753 ns/op
Iteration  23: 64.738 ns/op
Iteration  24: 64.753 ns/op
Iteration  25: 64.731 ns/op
Iteration  26: 64.747 ns/op
Iteration  27: 64.741 ns/op
Iteration  28: 64.722 ns/op
Iteration  29: 64.774 ns/op
Iteration  30: 64.748 ns/op
Iteration  31: 64.735 ns/op
Iteration  32: 64.746 ns/op
Iteration  33: 64.999 ns/op
Iteration  34: 64.831 ns/op
Iteration  35: 64.748 ns/op
Iteration  36: 64.725 ns/op
Iteration  37: 64.748 ns/op
Iteration  38: 64.756 ns/op
Iteration  39: 64.736 ns/op
Iteration  40: 64.748 ns/op
Iteration  41: 64.743 ns/op
Iteration  42: 64.740 ns/op
Iteration  43: 64.756 ns/op
Iteration  44: 64.747 ns/op
Iteration  45: 64.742 ns/op
Iteration  46: 64.723 ns/op
Iteration  47: 64.745 ns/op
Iteration  48: 64.757 ns/op
Iteration  49: 64.732 ns/op
Iteration  50: 65.862 ns/op
Iteration  51: 65.848 ns/op
Iteration  52: 64.748 ns/op
Iteration  53: 64.748 ns/op
Iteration  54: 64.776 ns/op
Iteration  55: 64.724 ns/op
Iteration  56: 64.705 ns/op
Iteration  57: 64.734 ns/op
Iteration  58: 64.754 ns/op
Iteration  59: 64.756 ns/op
Iteration  60: 64.741 ns/op
Iteration  61: 64.729 ns/op
Iteration  62: 64.773 ns/op
Iteration  63: 64.727 ns/op
Iteration  64: 64.768 ns/op
Iteration  65: 64.773 ns/op
Iteration  66: 64.718 ns/op
Iteration  67: 64.801 ns/op
Iteration  68: 64.744 ns/op
